question,ground_truth
What is the sample space in probability theory?,The sample space is the set of all possible outcomes of an experiment.
What is an event in probability?,An event is a subset of the sample space consisting of one or more possible outcomes.
What are the four basic axioms of probability?,The four axioms are: probabilities are non-negative the probability of the sample space equals one if one event is a subset of another then its probability is less than or equal to that of the larger event  and the probability of the union of two events equals the sum of their probabilities minus the probability of their intersection.
Why must the probabilities assigned to all possible outcomes sum to one?,Because the sample space contains every possible outcome of the experiment making its total probability equal to one.
What is meant by the complement of an event?,The complement of an event consists of all outcomes in the sample space that are not part of the original event.
What does the inclusion-exclusion principle state?,The probability of the union of two events equals the sum of their individual probabilities minus the probability of their intersection.
Why is the probability of the intersection subtracted in the inclusion-exclusion principle?,Because outcomes belonging to both events would otherwise be counted twice when adding their probabilities.
How is probability used in a classification problem?,A classifier predicts a probability distribution over all possible classes and selects the class with the highest probability.
Why should the output probabilities of a neural network classifier sum to one?,Because the outputs represent a valid probability distribution over all possible classes.
What is conditional probability?,Conditional probability is the probability of an event occurring given that certain information or another event is already known.
How does observing new information affect probability?,New information changes the probability distribution by restricting attention to the universe in which the observed information is true.
How can the probability assigned by an MNIST classifier be interpreted?,It represents the probability that the input image belongs to a particular digit class given the observed pixel values.
What does P(0|input) represent in an image classifier?,It represents the probability that the input image depicts the digit zero given its pixel values.
What is meant by independence between two events?,Two events are independent if knowing that one occurred does not change the probability of the other occurring.
Why is independence considered a symmetric property?,Because if the occurrence of one event does not affect the probability of the other the reverse relationship also holds.
How can the probability of the intersection of two events be expressed using conditional probability?,It equals the conditional probability of one event given the other multiplied by the probability of the conditioning event.
How does the multiplication rule simplify when two events are independent?,The probability of their intersection becomes the product of their individual probabilities.
What is a random variable?,A random variable is a function that maps outcomes in the sample space to values in another space such as integers or real numbers.
Why are random variables important in machine learning?,They provide mathematical representations of uncertain quantities that can be analyzed using probability distributions and statistical measures.
How is dropout related to random variables?,Each neuron in a dropout layer can be modeled as a binary random variable indicating whether that neuron is kept or masked during training.
question,ground_truth
What is the expectation of a random variable?,The expectation of a random variable is its probability-weighted average value over all possible outcomes.
Why is expectation referred to as a weighted average?,Because each possible value contributes to the average according to its probability of occurring.
What does the variance of a random variable measure?,Variance measures how much the values of a random variable tend to deviate from their expected value.
Why are both expectation and variance important in machine learning?,Expectation describes the average behavior of a random variable while variance quantifies the uncertainty or spread around that average.
How is the expectation of a discrete random variable computed?,It is computed by multiplying each possible value by its probability and summing over all possible values.
What does a high variance indicate about a random variable?,A high variance indicates that the values are widely spread around the expected value.
What does a low variance indicate?,A low variance indicates that most values lie close to the expected value.
Why is variance always non-negative?,Because it is computed from squared deviations from the mean which cannot be negative.
What is a probability distribution?,A probability distribution assigns probabilities to all possible values of a random variable while satisfying the probability axioms.
What characterizes a valid probability distribution?,All probabilities are non-negative and their total sum equals one.
